"season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","new","total"
"Spring","2011","Jan","10","No","Sunday","No","Fair",8.92,7.001,81,15.0013,7,46,53
"Spring","2011","Jan","11","No","Sunday","No","Fair",8.92,5.9978,71,16.9979,16,54,70
"Spring","2011","Jan","12","No","Sunday","No","Fair",8.92,5.9978,66,19.9995,20,73,93
"Spring","2011","Jan","13","No","Sunday","No","Fair",8.92,7.001,66,8.9981,11,64,75
"Spring","2011","Jan","14","No","Sunday","No","Bad",8.92,7.001,76,12.998,4,55,59
"Spring","2011","Jan","15","No","Sunday","No","Bad",7.98,5.9978,81,11.0014,19,55,74
"Spring","2011","Jan","16","No","Sunday","No","Bad",7.98,5.9978,71,11.0014,9,67,76
"Spring","2011","Jan","17","No","Sunday","No","Good",7.98,5.9978,57,12.998,7,58,65
"Spring","2011","Jan","18","No","Sunday","No","Fair",8.92,5.9978,46,22.0028,10,43,53
"Spring","2011","Jan","19","No","Sunday","No","Good",7.04,3.0014,42,30.0026,1,29,30
"Spring","2011","Jan","20","No","Sunday","No","Good",6.1,1.9982,39,23.9994,5,17,22
"Spring","2011","Jan","21","No","Sunday","No","Good",4.22,-0.998200000000001,44,22.0028,11,20,31
"Spring","2011","Jan","22","No","Sunday","No","Good",3.28,-2.0014,44,19.9995,0,9,9
"Spring","2011","Jan","23","No","Sunday","No","Good",2.34,-0.998200000000001,47,11.0014,0,8,8
"Spring","2011","Jan","0","No","Monday","Yes","Good",2.34,-2.998,44,23.9994,0,5,5
"Spring","2011","Jan","1","No","Monday","Yes","Good",1.4,-4.9978,44,27.9993,0,2,2
"Spring","2011","Jan","4","No","Monday","Yes","Good",-0.48,-6.9976,47,26.0027,0,1,1
"Spring","2011","Jan","5","No","Monday","Yes","Good",-0.48,-6.9976,47,19.0012,0,3,3
"Spring","2011","Jan","6","No","Monday","Yes","Good",-1.42,-8.9974,50,26.0027,0,30,30
"Spring","2011","Jan","7","No","Monday","Yes","Good",-1.42,-6.9976,50,12.998,1,63,64
"Spring","2011","Jan","8","No","Monday","Yes","Good",-1.42,-8.0008,50,19.0012,1,153,154
"Spring","2011","Jan","9","No","Monday","Yes","Good",-0.48,-6.9976,43,26.0027,7,81,88
"Spring","2011","Jan","10","No","Monday","Yes","Good",0.459999999999999,-4.9978,43,16.9979,11,33,44
"Spring","2011","Jan","11","No","Monday","Yes","Good",1.4,-4.0012,40,22.0028,10,41,51
"Spring","2011","Jan","12","No","Monday","Yes","Good",2.34,-2.0014,35,19.9995,13,48,61
"Spring","2011","Jan","13","No","Monday","Yes","Good",3.28,-2.0014,35,19.0012,8,53,61
"Spring","2011","Jan","14","No","Monday","Yes","Good",4.22,-0.00159999999999982,30,19.0012,11,66,77
"Spring","2011","Jan","15","No","Monday","Yes","Good",4.22,-0.00159999999999982,30,16.9979,14,58,72
"Spring","2011","Jan","16","No","Monday","Yes","Good",4.22,-0.00159999999999982,30,16.9979,9,67,76
"Spring","2011","Jan","17","No","Monday","Yes","Good",3.28,-0.998200000000001,30,15.0013,11,146,157
"Spring","2011","Jan","18","No","Monday","Yes","Good",3.28,1.0016,32,7.0015,9,148,157
"Spring","2011","Jan","19","No","Monday","Yes","Good",1.4,1.0016,47,0,8,102,110
"Spring","2011","Jan","20","No","Monday","Yes","Good",1.4,-0.998200000000001,47,7.0015,3,49,52
"Spring","2011","Jan","21","No","Monday","Yes","Good",0.459999999999999,-2.998,64,8.9981,3,49,52
"Spring","2011","Jan","22","No","Monday","Yes","Good",-1.42,-6.001,69,8.9981,0,20,20
"Spring","2011","Jan","23","No","Monday","Yes","Good",0.459999999999999,-2.0014,55,7.0015,1,11,12
"Spring","2011","Jan","0","No","Tuesday","Yes","Good",-0.48,-4.0012,55,7.0015,0,5,5
"Spring","2011","Jan","1","No","Tuesday","Yes","Good",-0.48,-4.0012,59,7.0015,0,2,2
"Spring","2011","Jan","2","No","Tuesday","Yes","Good",-1.42,-6.001,63,8.9981,0,1,1
"Spring","2011","Jan","4","No","Tuesday","Yes","Good",-1.42,-4.0012,63,6.0032,0,2,2
"Spring","2011","Jan","5","No","Tuesday","Yes","Good",-2.36,-6.001,68,7.0015,0,4,4
"Spring","2011","Jan","6","No","Tuesday","Yes","Good",-2.36,-6.001,74,7.0015,0,36,36
"Spring","2011","Jan","7","No","Tuesday","Yes","Good",-2.36,-6.001,74,8.9981,2,92,94
"Spring","2011","Jan","8","No","Tuesday","Yes","Good",-1.42,-6.001,69,11.0014,2,177,179
"Spring","2011","Jan","9","No","Tuesday","Yes","Good",-0.48,-6.001,64,15.0013,2,98,100
"Spring","2011","Jan","10","No","Tuesday","Yes","Fair",-0.48,-6.9976,69,22.0028,5,37,42
"Spring","2011","Jan","11","No","Tuesday","Yes","Good",2.34,-2.0014,51,19.9995,7,50,57
"Spring","2011","Jan","12","No","Tuesday","Yes","Good",2.34,-0.998200000000001,51,11.0014,12,66,78
"Spring","2011","Jan","13","No","Tuesday","Yes","Good",3.28,-0.998200000000001,56,12.998,18,79,97
"Spring","2011","Jan","14","No","Tuesday","Yes","Good",4.22,1.0016,52,15.0013,9,54,63
"Spring","2011","Jan","15","No","Tuesday","Yes","Good",5.16,1.9982,52,16.9979,17,48,65
"Spring","2011","Jan","16","No","Tuesday","Yes","Good",6.1,3.0014,49,16.9979,15,68,83
"Spring","2011","Jan","17","No","Tuesday","Yes","Good",5.16,1.9982,48,15.0013,10,202,212
"Spring","2011","Jan","18","No","Tuesday","Yes","Good",4.22,1.0016,48,12.998,3,179,182
"Spring","2011","Jan","19","No","Tuesday","Yes","Good",3.28,1.0016,48,7.0015,2,110,112
"Spring","2011","Jan","20","No","Tuesday","Yes","Good",3.28,1.0016,48,7.0015,1,53,54
"Spring","2011","Jan","21","No","Tuesday","Yes","Good",2.34,1.9982,64,0,0,48,48
"Spring","2011","Jan","22","No","Tuesday","Yes","Good",2.34,1.0016,64,6.0032,1,34,35
"Spring","2011","Jan","23","No","Tuesday","Yes","Good",1.4,-0.998200000000001,69,6.0032,2,9,11
"Spring","2011","Jan","0","No","Wednesday","Yes","Good",1.4,1.0016,64,0,0,6,6
"Spring","2011","Jan","1","No","Wednesday","Yes","Good",-0.48,-2.998,74,6.0032,0,6,6
"Spring","2011","Jan","2","No","Wednesday","Yes","Good",-0.48,-2.998,74,6.0032,0,2,2
"Spring","2011","Jan","4","No","Wednesday","Yes","Good",3.28,-0.998200000000001,48,15.0013,0,2,2
"Spring","2011","Jan","5","No","Wednesday","Yes","Good",2.34,-0.998200000000001,47,11.0014,0,3,3
"Spring","2011","Jan","6","No","Wednesday","Yes","Good",1.4,-2.998,47,15.0013,0,33,33
"Spring","2011","Jan","7","No","Wednesday","Yes","Good",0.459999999999999,-4.0012,43,12.998,1,87,88
"Spring","2011","Jan","8","No","Wednesday","Yes","Good",1.4,-4.0012,40,19.9995,3,192,195
"Spring","2011","Jan","9","No","Wednesday","Yes","Good",2.34,-2.998,37,22.0028,6,109,115
"Spring","2011","Jan","10","No","Wednesday","Yes","Good",2.34,-2.998,37,22.0028,4,53,57
"Spring","2011","Jan","11","No","Wednesday","Yes","Good",4.22,-0.998200000000001,33,22.0028,12,34,46
"Spring","2011","Jan","12","No","Wednesday","Yes","Good",4.22,-0.998200000000001,33,22.0028,5,74,79
"Spring","2011","Jan","13","No","Wednesday","Yes","Good",5.16,1.0016,30,19.9995,6,65,71
"Spring","2011","Jan","14","No","Wednesday","Yes","Good",6.1,3.0014,28,12.998,10,52,62
"Spring","2011","Jan","15","No","Wednesday","Yes","Good",6.1,3.0014,28,12.998,7,55,62
"Spring","2011","Jan","16","No","Wednesday","Yes","Good",6.1,5.0012,28,6.0032,4,85,89
"Spring","2011","Jan","17","No","Wednesday","Yes","Good",3.28,-0.998200000000001,38,12.998,4,186,190
"Spring","2011","Jan","18","No","Wednesday","Yes","Good",3.28,-0.00159999999999982,38,8.9981,3,166,169
"Spring","2011","Jan","19","No","Wednesday","Yes","Good",3.28,1.0016,38,7.0015,5,127,132
"Spring","2011","Jan","20","No","Wednesday","Yes","Good",2.34,-0.998200000000001,47,11.0014,7,82,89
"Spring","2011","Jan","21","No","Wednesday","Yes","Good",1.4,-2.998,51,12.998,3,40,43
"Spring","2011","Jan","22","No","Wednesday","Yes","Good",0.459999999999999,-2.998,55,8.9981,1,41,42
"Spring","2011","Jan","23","No","Wednesday","Yes","Good",1.4,1.0016,47,0,1,18,19
"Spring","2011","Jan","0","No","Thursday","Yes","Good",0.459999999999999,-0.00159999999999982,55,0,0,11,11
"Spring","2011","Jan","1","No","Thursday","Yes","Good",-0.48,-0.998200000000001,64,0,0,4,4
"Spring","2011","Jan","2","No","Thursday","Yes","Good",-0.48,-0.998200000000001,64,0,0,2,2
"Spring","2011","Jan","4","No","Thursday","Yes","Fair",-0.48,-2.998,64,6.0032,0,1,1
"Spring","2011","Jan","5","No","Thursday","Yes","Fair",-1.42,-4.0012,69,6.0032,0,4,4
"Spring","2011","Jan","6","No","Thursday","Yes","Fair",-1.42,-4.9978,63,7.0015,0,36,36
"Spring","2011","Jan","7","No","Thursday","Yes","Fair",-0.48,-0.998200000000001,59,0,0,95,95
"Spring","2011","Jan","8","No","Thursday","Yes","Good",-0.48,-0.998200000000001,59,0,3,216,219
"Spring","2011","Jan","9","No","Thursday","Yes","Fair",0.459999999999999,-0.00159999999999982,51,0,6,116,122
"Spring","2011","Jan","10","No","Thursday","Yes","Good",1.4,1.0016,47,0,3,42,45
"Spring","2011","Jan","11","No","Thursday","Yes","Good",2.34,1.0016,44,6.0032,2,57,59
"Spring","2011","Jan","12","No","Thursday","Yes","Good",4.22,3.0014,35,0,6,78,84
"Spring","2011","Jan","13","No","Thursday","Yes","Good",4.22,1.9982,35,7.0015,12,55,67
"Spring","2011","Jan","14","No","Thursday","Yes","Good",5.16,1.9982,36,11.0014,11,59,70
"Spring","2011","Jan","15","No","Thursday","Yes","Good",5.16,1.9982,36,0,8,54,62
"Spring","2011","Jan","16","No","Thursday","Yes","Good",4.22,1.0016,38,11.0014,12,74,86
"Spring","2011","Jan","17","No","Thursday","Yes","Good",2.34,-0.998200000000001,51,11.0014,9,163,172
"Spring","2011","Jan","18","No","Thursday","Yes","Good",2.34,-0.998200000000001,51,8.9981,5,158,163
"Spring","2011","Jan","19","No","Thursday","Yes","Good",2.34,1.0016,55,6.0032,3,109,112
"Spring","2011","Jan","20","No","Thursday","Yes","Good",1.4,-2.0014,51,11.0014,3,66,69
"Spring","2011","Jan","21","No","Thursday","Yes","Fair",2.34,-2.0014,55,15.0013,0,48,48
"Spring","2011","Jan","22","No","Thursday","Yes","Fair",2.34,-2.0014,51,19.0012,1,51,52
"Spring","2011","Jan","23","No","Thursday","Yes","Fair",1.4,-2.998,59,12.998,4,19,23
"Spring","2011","Jan","0","No","Friday","Yes","Fair",1.4,-2.998,64,12.998,4,13,17
"Spring","2011","Jan","1","No","Friday","Yes","Fair",1.4,-2.998,69,15.0013,2,5,7
"Spring","2011","Jan","2","No","Friday","Yes","Fair",1.4,-2.998,69,15.0013,0,1,1
"Spring","2011","Jan","4","No","Friday","Yes","Fair",1.4,-2.0014,69,8.9981,0,1,1
"Spring","2011","Jan","5","No","Friday","Yes","Bad",2.34,1.9982,55,0,0,5,5
"Spring","2011","Jan","6","No","Friday","Yes","Fair",1.4,1.0016,69,0,8,26,34
"Spring","2011","Jan","7","No","Friday","Yes","Good",1.4,-2.0014,69,8.9981,8,76,84
"Spring","2011","Jan","8","No","Friday","Yes","Good",1.4,-2.998,51,16.9979,20,190,210
"Spring","2011","Jan","9","No","Friday","Yes","Good",1.4,-4.0012,47,19.9995,9,125,134
"Spring","2011","Jan","10","No","Friday","Yes","Good",2.34,-2.998,37,22.0028,16,47,63
"Spring","2011","Jan","11","No","Friday","Yes","Fair",1.4,-2.998,40,15.0013,19,48,67
"Spring","2011","Jan","12","No","Friday","Yes","Fair",1.4,-2.998,37,16.9979,9,50,59
"Spring","2011","Jan","13","No","Friday","Yes","Fair",1.4,-4.0012,37,19.0012,9,64,73
"Spring","2011","Jan","14","No","Friday","Yes","Fair",1.4,-2.998,40,16.9979,7,43,50
"Spring","2011","Jan","15","No","Friday","Yes","Fair",1.4,-2.0014,37,11.0014,9,63,72
"Spring","2011","Jan","16","No","Friday","Yes","Fair",1.4,-2.0014,37,11.0014,5,82,87
"Spring","2011","Jan","17","No","Friday","Yes","Fair",1.4,1.0016,37,0,9,178,187
"Spring","2011","Jan","18","No","Friday","Yes","Good",1.4,-0.998200000000001,40,6.0032,7,116,123
"Spring","2011","Jan","19","No","Friday","Yes","Good",-0.48,-2.998,55,6.0032,3,92,95
"Spring","2011","Jan","20","No","Friday","Yes","Good",0.459999999999999,-2.0014,47,7.0015,1,50,51
"Spring","2011","Jan","21","No","Friday","Yes","Good",0.459999999999999,-2.998,47,8.9981,0,39,39
"Spring","2011","Jan","22","No","Friday","Yes","Fair",0.459999999999999,-2.998,43,11.0014,2,34,36
"Spring","2011","Jan","23","No","Friday","Yes","Fair",0.459999999999999,-2.998,51,11.0014,1,14,15
"Spring","2011","Jan","0","No","Saturday","No","Fair",0.459999999999999,-2.998,51,11.0014,1,24,25
"Spring","2011","Jan","1","No","Saturday","No","Fair",0.459999999999999,-2.0014,55,6.0032,1,15,16
"Spring","2011","Jan","2","No","Saturday","No","Fair",0.459999999999999,-0.00159999999999982,55,0,3,13,16
"Spring","2011","Jan","3","No","Saturday","No","Bad",0.459999999999999,-2.998,55,11.0014,0,7,7
"Spring","2011","Jan","4","No","Saturday","No","Bad",0.459999999999999,-2.998,55,11.0014,0,1,1
"Spring","2011","Jan","5","No","Saturday","No","Fair",-0.48,-4.9978,74,11.0014,0,5,5
"Spring","2011","Jan","6","No","Saturday","No","Fair",-0.48,-4.9978,74,11.0014,0,2,2
"Spring","2011","Jan","7","No","Saturday","No","Fair",-0.48,-4.0012,74,7.0015,1,8,9
"Spring","2011","Jan","8","No","Saturday","No","Bad",-0.48,-4.0012,93,7.0015,0,15,15
"Spring","2011","Jan","9","No","Saturday","No","Bad",-0.48,-4.0012,93,7.0015,0,20,20
"Spring","2011","Jan","10","No","Saturday","No","Fair",0.459999999999999,-2.998,80,11.0014,5,56,61
"Spring","2011","Jan","11","No","Saturday","No","Fair",1.4,-4.0012,69,26.0027,2,60,62
"Spring","2011","Jan","12","No","Saturday","No","Fair",1.4,-4.0012,59,23.9994,8,90,98
"Spring","2011","Jan","13","No","Saturday","No","Good",1.4,-4.0012,44,22.0028,7,95,102
"Spring","2011","Jan","14","No","Saturday","No","Good",1.4,-4.9978,32,32.9975,12,83,95
"Spring","2011","Jan","15","No","Saturday","No","Good",1.4,-4.9978,32,30.0026,5,69,74
"Spring","2011","Jan","16","No","Saturday","No","Good",0.459999999999999,-6.9976,29,30.0026,8,68,76
"Spring","2011","Jan","17","No","Saturday","No","Good",-0.48,-8.0008,37,36.9974,5,64,69
"Spring","2011","Jan","18","No","Saturday","No","Good",-1.42,-8.0008,39,19.9995,3,52,55
"Spring","2011","Jan","19","No","Saturday","No","Good",-1.42,-8.0008,36,16.9979,4,26,30
"Spring","2011","Jan","20","No","Saturday","No","Good",-2.36,-8.0008,36,16.9979,0,28,28
"Spring","2011","Jan","21","No","Saturday","No","Good",-2.36,-8.9974,39,23.9994,2,35,37
"Spring","2011","Jan","22","No","Saturday","No","Good",-2.36,-8.9974,36,26.0027,1,33,34
"Spring","2011","Jan","23","No","Saturday","No","Good",-3.3,-12.0004,39,30.0026,0,22,22
"Spring","2011","Jan","0","No","Sunday","No","Good",-3.3,-10.9972,42,26.0027,1,24,25
"Spring","2011","Jan","1","No","Sunday","No","Good",-3.3,-12.0004,42,31.0009,0,12,12
"Spring","2011","Jan","2","No","Sunday","No","Good",-3.3,-12.0004,46,31.0009,0,11,11
"Spring","2011","Jan","3","No","Sunday","No","Good",-3.3,-10.9972,46,27.9993,0,4,4
"Spring","2011","Jan","4","No","Sunday","No","Good",-4.24,-10.0006,53,12.998,0,1,1
"Spring","2011","Jan","5","No","Sunday","No","Good",-4.24,-10.0006,53,12.998,0,1,1
"Spring","2011","Jan","6","No","Sunday","No","Good",-3.3,-10.0006,49,19.0012,0,1,1
"Spring","2011","Jan","7","No","Sunday","No","Good",-4.24,-10.0006,53,12.998,1,5,6
"Spring","2011","Jan","8","No","Sunday","No","Good",-3.3,-10.0006,49,19.0012,0,10,10
"Spring","2011","Jan","9","No","Sunday","No","Good",-2.36,-10.9972,46,35.0008,0,19,19
"Spring","2011","Jan","10","No","Sunday","No","Good",-1.42,-8.9974,43,26.0027,0,49,49
"Spring","2011","Jan","11","No","Sunday","No","Good",-0.48,-8.0008,40,35.0008,2,47,49
"Spring","2011","Jan","12","No","Sunday","No","Good",0.459999999999999,-6.9976,37,30.0026,4,79,83
"Spring","2011","Jan","13","No","Sunday","No","Good",1.4,-4.9978,34,30.0026,6,69,75
"Spring","2011","Jan","14","No","Sunday","No","Good",2.34,-4.0012,32,31.0009,8,64,72
"Spring","2011","Jan","15","No","Sunday","No","Good",2.34,-2.998,35,23.9994,5,77,82
"Spring","2011","Jan","16","No","Sunday","No","Good",1.4,-4.9978,34,30.0026,13,79,92
"Spring","2011","Jan","17","No","Sunday","No","Good",0.459999999999999,-6.001,37,26.0027,3,59,62
"Spring","2011","Jan","18","No","Sunday","No","Good",-0.48,-6.9976,40,22.0028,4,44,48
"Spring","2011","Jan","19","No","Sunday","No","Good",-0.48,-6.9976,43,22.0028,1,40,41
"Spring","2011","Jan","20","No","Sunday","No","Good",-1.42,-8.0008,46,16.9979,0,38,38
"Spring","2011","Jan","21","No","Sunday","No","Good",-1.42,-8.9974,46,27.9993,1,19,20
"Spring","2011","Jan","22","No","Sunday","No","Good",-1.42,-8.0008,46,19.9995,5,10,15
"Spring","2011","Jan","23","No","Sunday","No","Good",-2.36,-6.9976,50,12.998,0,6,6
"Spring","2011","Jan","0","No","Monday","Yes","Good",-2.36,-8.0008,50,19.0012,2,3,5
"Spring","2011","Jan","1","No","Monday","Yes","Good",-2.36,-8.0008,50,19.0012,1,0,1
"Spring","2011","Jan","2","No","Monday","Yes","Good",-2.36,-8.0008,50,15.0013,0,3,3
"Spring","2011","Jan","3","No","Monday","Yes","Good",-2.36,-8.0008,50,15.0013,0,1,1
"Spring","2011","Jan","4","No","Monday","Yes","Good",-3.3,-8.0008,54,8.9981,1,2,3
"Spring","2011","Jan","5","No","Monday","Yes","Good",-3.3,-8.9974,54,16.9979,0,3,3
"Spring","2011","Jan","6","No","Monday","Yes","Good",-2.36,-8.0008,50,19.0012,0,31,31
"Spring","2011","Jan","7","No","Monday","Yes","Good",-2.36,-8.0008,50,15.0013,2,75,77
"Spring","2011","Jan","8","No","Monday","Yes","Fair",-2.36,-8.0008,50,19.0012,4,184,188
"Spring","2011","Jan","9","No","Monday","Yes","Fair",-1.42,-8.0008,50,16.9979,2,92,94
"Spring","2011","Jan","10","No","Monday","Yes","Fair",-1.42,-8.0008,50,19.9995,0,31,31
"Spring","2011","Jan","11","No","Monday","Yes","Fair",-0.48,-6.9976,47,19.0012,2,28,30
"Spring","2011","Jan","12","No","Monday","Yes","Fair",1.4,-4.0012,40,19.0012,5,47,52
"Spring","2011","Jan","13","No","Monday","Yes","Fair",1.4,-4.0012,40,19.0012,4,50,54
"Spring","2011","Jan","14","No","Monday","Yes","Fair",1.4,-2.998,40,15.0013,0,47,47
"Spring","2011","Jan","15","No","Monday","Yes","Fair",1.4,-2.998,40,15.0013,2,43,45
"Spring","2011","Jan","16","No","Monday","Yes","Good",1.4,-2.0014,40,8.9981,4,70,74
"Spring","2011","Jan","17","No","Monday","Yes","Good",1.4,-0.998200000000001,40,7.0015,4,174,178
"Spring","2011","Jan","18","No","Monday","Yes","Good",1.4,-2.998,40,15.0013,1,154,155
"Spring","2011","Jan","19","No","Monday","Yes","Good",-0.48,-4.9978,47,11.0014,3,92,95
"Spring","2011","Jan","20","No","Monday","Yes","Good",-0.48,-4.9978,50,11.0014,1,73,74
"Spring","2011","Jan","21","No","Monday","Yes","Good",-1.42,-6.9976,59,12.998,1,37,38
"Spring","2011","Jan","22","No","Monday","Yes","Good",-1.42,-6.001,59,11.0014,2,22,24
"Spring","2011","Jan","23","No","Monday","Yes","Good",-1.42,-6.001,59,11.0014,0,18,18
"Spring","2011","Jan","0","No","Tuesday","Yes","Good",-1.42,-4.9978,59,7.0015,2,10,12
"Spring","2011","Jan","1","No","Tuesday","Yes","Good",-1.42,-6.001,59,11.0014,0,3,3
"Spring","2011","Jan","2","No","Tuesday","Yes","Fair",-0.48,-6.001,55,12.998,0,3,3
"Spring","2011","Jan","5","No","Tuesday","Yes","Fair",-0.48,-4.0012,55,8.9981,0,6,6
"Spring","2011","Jan","6","No","Tuesday","Yes","Fair",-0.48,-4.0012,55,8.9981,0,27,27
"Spring","2011","Jan","7","No","Tuesday","Yes","Fair",-0.48,-0.998200000000001,55,0,2,97,99
"Spring","2011","Jan","8","No","Tuesday","Yes","Fair",0.459999999999999,-2.0014,51,6.0032,3,214,217
"Spring","2011","Jan","9","No","Tuesday","Yes","Fair",0.459999999999999,-2.998,51,11.0014,3,127,130
"Spring","2011","Jan","10","No","Tuesday","Yes","Fair",1.4,-2.0014,51,11.0014,3,51,54
"Spring","2011","Jan","11","No","Tuesday","Yes","Fair",1.4,-2.0014,47,8.9981,4,31,35
"Spring","2011","Jan","12","No","Tuesday","Yes","Fair",1.4,-0.998200000000001,51,7.0015,2,55,57
"Spring","2011","Jan","13","No","Tuesday","Yes","Fair",1.4,-0.998200000000001,59,6.0032,6,46,52
"Spring","2011","Jan","14","No","Tuesday","Yes","Fair",1.4,-0.998200000000001,59,6.0032,3,60,63
"Spring","2011","Jan","15","No","Tuesday","Yes","Fair",-0.48,-2.998,80,6.0032,2,45,47
"Spring","2011","Jan","16","No","Tuesday","Yes","Fair",-0.48,-6.001,86,15.0013,4,72,76
"Spring","2011","Jan","17","No","Tuesday","Yes","Fair",-0.48,-6.001,86,15.0013,6,130,136
"Spring","2011","Jan","18","No","Tuesday","Yes","Bad",-0.48,-4.0012,93,7.0015,1,94,95
"Spring","2011","Jan","19","No","Tuesday","Yes","Bad",-0.48,-0.998200000000001,93,0,0,51,51
"Spring","2011","Jan","20","No","Tuesday","Yes","Bad",-0.48,-6.001,93,12.998,0,32,32
"Spring","2011","Jan","21","No","Tuesday","Yes","Bad",-0.48,-2.998,86,6.0032,0,20,20
"Spring","2011","Jan","22","No","Tuesday","Yes","Bad",-0.48,-4.0012,93,7.0015,1,28,29
"Spring","2011","Jan","23","No","Tuesday","Yes","Bad",-0.48,-2.998,93,6.0032,1,18,19
"Spring","2011","Jan","0","No","Wednesday","Yes","Fair",-0.48,-2.998,86,6.0032,0,7,7
"Spring","2011","Jan","1","No","Wednesday","Yes","Fair",-0.48,-4.0012,86,7.0015,0,6,6
"Spring","2011","Jan","2","No","Wednesday","Yes","Good",-1.42,-6.001,86,8.9981,0,1,1
"Spring","2011","Jan","5","No","Wednesday","Yes","Good",-1.42,-6.001,86,11.0014,0,5,5
"Spring","2011","Jan","6","No","Wednesday","Yes","Good",-2.36,-6.001,93,8.9981,0,16,16
"Spring","2011","Jan","7","No","Wednesday","Yes","Good",-1.42,-6.001,69,8.9981,0,54,54
"Spring","2011","Jan","8","No","Wednesday","Yes","Good",-0.48,-4.9978,59,11.0014,3,125,128
"Spring","2011","Jan","9","No","Wednesday","Yes","Good",-0.48,-6.9976,59,22.0028,3,78,81
"Spring","2011","Jan","10","No","Wednesday","Yes","Good",0.459999999999999,-4.0012,55,15.0013,0,39,39
"Spring","2011","Jan","11","No","Wednesday","Yes","Good",1.4,-4.0012,51,26.0027,3,32,35
"Spring","2011","Jan","12","No","Wednesday","Yes","Good",1.4,-6.001,47,39.0007,3,52,55
"Spring","2011","Jan","13","No","Wednesday","Yes","Good",2.34,-2.998,44,23.9994,0,49,49
"Spring","2011","Jan","14","No","Wednesday","Yes","Good",1.4,-4.0012,47,22.0028,0,44,44
"Spring","2011","Jan","15","No","Wednesday","Yes","Good",1.4,-4.9978,47,27.9993,1,48,49
"Spring","2011","Jan","16","No","Wednesday","Yes","Good",2.34,-2.998,44,22.0028,5,63,68
"Spring","2011","Jan","17","No","Wednesday","Yes","Good",1.4,-4.0012,47,23.9994,0,139,139
"Spring","2011","Jan","18","No","Wednesday","Yes","Good",1.4,-6.001,47,35.0008,2,135,137
