"mnth","hr","holiday","weekday","weathersit","temp","atemp","hum","windspeed","total"
"Jan","23","No","Saturday","Good",6.1,3.0014,45,19.0012,44
"Jan","0","No","Sunday","Good",4.22,3.998,56,0,39
"Jan","1","No","Sunday","Good",4.22,1.9982,56,8.9981,23
"Jan","3","No","Sunday","Good",2.34,1.9982,69,0,15
"Jan","5","No","Sunday","Fair",4.22,1.0016,56,11.0014,2
"Jan","6","No","Sunday","Fair",4.22,1.0016,56,11.0014,1
"Jan","7","No","Sunday","Fair",3.28,-2.0014,56,19.9995,3
"Jan","8","No","Sunday","Good",2.34,-2.0014,55,19.0012,18
"Jan","9","No","Sunday","Good",2.34,-2.0014,51,16.9979,32
"Jan","11","No","Sunday","Good",3.28,-0.998200000000001,44,16.9979,93
"Jan","12","No","Sunday","Good",3.28,-2.0014,41,19.0012,104
"Jan","13","No","Sunday","Good",4.22,-0.998200000000001,35,19.9995,118
"Jan","14","No","Sunday","Good",5.16,1.9982,36,16.9979,91
"Jan","15","No","Sunday","Good",4.22,-0.00159999999999982,38,16.9979,113
"Jan","17","No","Sunday","Good",2.34,-2.0014,37,16.9979,105
"Jan","18","No","Sunday","Good",1.4,-2.0014,40,11.0014,67
"Jan","19","No","Sunday","Good",0.459999999999999,-2.998,47,8.9981,61
"Jan","20","No","Sunday","Good",0.459999999999999,-2.998,47,11.0014,57
"Jan","21","No","Sunday","Good",0.459999999999999,-2.998,51,11.0014,28
"Jan","22","No","Sunday","Fair",1.4,-2.0014,49,8.9981,21
"Jan","0","Yes","Monday","Fair",1.4,-2.998,47,15.0013,17
"Jan","1","Yes","Monday","Fair",1.4,-2.998,44,12.998,16
"Jan","2","Yes","Monday","Fair",0.459999999999999,-4.9978,43,16.9979,8
"Jan","3","Yes","Monday","Fair",0.459999999999999,-4.0012,43,12.998,2
"Jan","5","Yes","Monday","Fair",0.459999999999999,-2.998,43,11.0014,1
"Jan","6","Yes","Monday","Fair",0.459999999999999,-4.0012,43,12.998,5
"Jan","7","Yes","Monday","Fair",-0.48,-4.0012,50,8.9981,13
"Jan","8","Yes","Monday","Fair",-0.48,-6.001,47,15.0013,33
"Jan","10","Yes","Monday","Fair",-0.48,-6.001,50,16.9979,57
"Jan","12","Yes","Monday","Fair",0.459999999999999,-2.998,47,8.9981,80
"Jan","13","Yes","Monday","Fair",0.459999999999999,-2.998,47,8.9981,93
"Jan","14","Yes","Monday","Fair",0.459999999999999,-2.0014,43,7.0015,86
"Jan","15","Yes","Monday","Fair",1.4,-2.0014,47,11.0014,93
"Jan","18","Yes","Monday","Fair",0.459999999999999,-4.9978,55,16.9979,92
"Jan","22","Yes","Monday","Bad",-1.42,-8.0008,93,16.9979,13
"Jan","23","Yes","Monday","Bad",-0.48,-6.9976,86,19.0012,4
"Jan","12","No","Tuesday","Fair",1.4,-4.0012,86,22.0028,3
"Jan","13","No","Tuesday","Fair",1.4,-2.998,86,15.0013,22
"Jan","14","No","Tuesday","Fair",2.34,-0.998200000000001,80,11.0014,28
"Jan","15","No","Tuesday","Fair",2.34,-0.998200000000001,87,11.0014,35
"Jan","16","No","Tuesday","Fair",2.34,-0.998200000000001,87,12.998,61
"Jan","18","No","Tuesday","Fair",2.34,-0.998200000000001,80,11.0014,133
"Jan","19","No","Tuesday","Fair",2.34,-0.998200000000001,80,8.9981,99
"Jan","20","No","Tuesday","Fair",2.34,1.9982,87,0,83
"Jan","21","No","Tuesday","Fair",2.34,-0.00159999999999982,93,7.0015,41
"Jan","22","No","Tuesday","Fair",2.34,1.0016,93,6.0032,33
"Jan","23","No","Tuesday","Fair",2.34,1.9982,93,0,20
"Jan","0","No","Wednesday","Fair",2.34,1.9982,93,0,3
"Jan","1","No","Wednesday","Bad",2.34,-0.998200000000001,93,8.9981,7
"Jan","4","No","Wednesday","Bad",2.34,-0.998200000000001,93,8.9981,2
"Jan","5","No","Wednesday","Fair",2.34,1.0016,93,6.0032,7
"Jan","6","No","Wednesday","Fair",2.34,1.0016,93,6.0032,32
"Jan","7","No","Wednesday","Fair",3.28,1.0016,92,7.0015,90
"Jan","8","No","Wednesday","Fair",3.28,1.0016,93,7.0015,197
"Jan","9","No","Wednesday","Fair",3.28,1.0016,93,7.0015,109
"Jan","10","No","Wednesday","Fair",4.22,1.9982,93,8.9981,47
"Jan","12","No","Wednesday","Fair",6.1,5.0012,81,6.0032,70
"Jan","13","No","Wednesday","Good",10.8,11.0006,62,19.0012,78
"Jan","14","No","Wednesday","Good",10.8,11.0006,58,16.9979,75
"Jan","15","No","Wednesday","Good",10.8,11.0006,54,19.0012,82
"Jan","16","No","Wednesday","Good",9.86,9.9974,58,26.0027,104
"Jan","17","No","Wednesday","Good",8.92,5.9978,57,22.0028,197
"Jan","20","No","Wednesday","Good",7.04,3.998,49,19.9995,76
"Jan","21","No","Wednesday","Good",7.04,3.0014,49,27.9993,59
"Jan","22","No","Wednesday","Good",6.1,3.998,52,11.0014,59
"Jan","23","No","Wednesday","Good",6.1,1.9982,52,31.0009,28
"Jan","0","No","Thursday","Good",4.22,-0.998200000000001,56,26.0027,13
"Jan","1","No","Thursday","Good",4.22,1.9982,56,0,5
"Jan","2","No","Thursday","Good",4.22,1.9982,56,0,2
"Jan","3","No","Thursday","Good",4.22,1.0016,56,11.0014,1
"Jan","4","No","Thursday","Good",4.22,1.0016,56,11.0014,1
"Jan","5","No","Thursday","Good",3.28,-0.998200000000001,60,15.0013,6
"Jan","7","No","Thursday","Good",2.34,-2.0014,55,15.0013,101
"Jan","9","No","Thursday","Fair",3.28,-0.998200000000001,52,15.0013,143
"Jan","10","No","Thursday","Good",4.22,-0.998200000000001,48,19.9995,57
"Jan","11","No","Thursday","Fair",5.16,1.9982,45,11.0014,68
"Jan","12","No","Thursday","Fair",6.1,5.9978,42,0,84
"Jan","13","No","Thursday","Fair",5.16,3.0014,45,7.0015,98
"Jan","14","No","Thursday","Fair",6.1,3.998,45,8.9981,81
"Jan","15","No","Thursday","Fair",7.04,5.0012,45,12.998,70
"Jan","16","No","Thursday","Fair",6.1,3.998,49,8.9981,91
"Jan","17","No","Thursday","Fair",6.1,5.0012,49,7.0015,215
"Jan","18","No","Thursday","Fair",4.22,1.0016,56,12.998,185
"Jan","22","No","Thursday","Fair",3.28,-2.0014,65,19.0012,56
"Jan","23","No","Thursday","Fair",3.28,-2.0014,65,22.0028,31
"Jan","0","No","Friday","Fair",3.28,-0.998200000000001,70,16.9979,21
"Jan","1","No","Friday","Fair",3.28,-0.998200000000001,70,16.9979,6
"Jan","2","No","Friday","Bad",3.28,-0.00159999999999982,75,11.0014,2
"Jan","3","No","Friday","Bad",2.34,-2.0014,80,19.9995,1
"Jan","4","No","Friday","Fair",2.34,1.0016,87,6.0032,1
"Jan","5","No","Friday","Good",3.28,-2.998,60,27.9993,5
"Jan","6","No","Friday","Good",2.34,-2.0014,55,16.9979,27
"Jan","7","No","Friday","Good",1.4,-4.0012,51,19.0012,68
"Jan","8","No","Friday","Good",1.4,-4.0012,47,22.0028,217
"Jan","9","No","Friday","Good",1.4,-4.0012,51,23.9994,166
